chain name,chain id,Branch code,Branch name
Carrefour,1037,745260,"Carrefour, Mahdy Arafa - Nasr City"
Carrefour,1037,740947,"Carrefour, Madinaty - Open Air Mall"
Carrefour,1037,747593,Carrefour - Silo Wahat
LuLu Hypermarket,185,612846,"LuLu Hypermarket, Tagammoa 1 - El Nakhil, Emerald"
Carrefour,1037,750954,"Carrefour, Alex City Light"
Spinneys,331,678723,Spinneys - Nasr City 1 - El Serag Mall
LuLu Hypermarket,185,612847,"LuLu Hypermarket, Masaken Sheraton - District Sheraton"
Carrefour,1037,743105,"Carrefour, Down Town - New Cairo"
Carrefour,1037,747583,"Carrefour, Zizinia Mall - Haram"
Carrefour,1037,745258,"Carrefour, Shorouk - Sky Plaza"
Spinneys,331,678720,"Spinneys, Maadi Grand Mall, Street 250, Maadi as Sarayat Al Gharbeyah,"
LuLu Hypermarket,185,772757,"Lulu Hypermarket, Tagammoa 5 - Hay 1"
Metro Market,540,716108,"Metro Market, Catalyst M055"
Carrefour,1037,785467,"Carrefour, City Center Almaza 267"
Metro Market,540,515839,"Metro Market, Haram - El Arish M002"
Carrefour,1037,740921,"Carrefour, Zahraa El Maadi - El Me'arag El Ouloy"
Metro Market,540,719872,Metro Market - Rehab City M028
Spinneys,331,726848,"Spinneys, Dokki"
Spinneys,331,691248,"Spinneys, Mohandsein (Syria Street)"
Spinneys,331,678718,"Spinneys, Ariana, Banks Center St, New Cairo 1, Cairo Governorate"
Spinneys,331,678714,"Spinneys, Kafr Nassar، 46 Al Haram, st"
Spinneys,331,678726,"Spinneys, Tagammoa 5 - AUC Pirl"
Carrefour,1037,747586,"Carrefour, Saraya Elkoba"
Carrefour,1037,760555,"Carrefour, Mansoura University"
Spinneys,331,716182,"Spinneys, Mansoura"
Metro Market,540,515854,"Metro Market, Madinaty - Buildings Area (B1) M039"
Carrefour,1037,783171,"Carrefour, Suez E18"
Metro Market,540,711724,"Metro Market, Mokattam - El Nafora Square M023"
Spinneys,331,678717,"Spinneys, Maxim Mall Tagammoa 5"
Carrefour,1037,743106,"Carrefour, Obour Hyper Market"
Metro Market,540,711721,"Metro Market, Maadi Corniche M003"
Metro Market,540,719875,Metro Market - Shorouk M040
LuLu Hypermarket,185,694458,"Lulu Hypermarket, Tagammoa 5 - 90 St. Park Mall"
Carrefour,1037,745259,"Carrefour, Silo - 15 May"
Metro Market,540,711722,Metro Market - PLAZA ESPANA M059
Kheir Zaman,541,739391,"Kheir Zaman, Tanta K135"
Metro Market,540,711723,"Metro Market, Maqreezi M001"
Spinneys,331,741358,"Spinneys, Minya"
Carrefour,1037,747592,"Carrefour, Beverly Hills"
Carrefour,1037,764776,"Carrefour, Ismalia"
Spinneys,331,747974,"Spinneys, Nozha"
Carrefour,1037,745261,"Carrefour, Avenue - Rehab"
Spinneys,331,678721,"Spinneys, Mokattam - El Nafora Square 9th 9، Al Abageyah"
Spinneys,331,735018,"Spinneys, Sheikh Zayed City - Estrada"
Spinneys,331,678724,"Spinneys, Hub 50 Mall Zahraa Maadi"
Metro Market,540,515851,"Metro Market, Nasr City - Genena Mall M005"
Carrefour,1037,745256,"Carrefour, Mokattam - El Nafora"
Carrefour,1037,750955,"Carrefour, Alex Royal Plaza"
Kheir Zaman,541,737576,"Kheir Zaman, Sporting K041"
Metro Market,540,716106,"Metro Market, Alahly M020"
Metro Market,540,515850,"Metro Market, Semouha - Victor Emanouil M006"
Metro Market,540,515845,"Metro Market, Agouza M008"
Spinneys,331,728695,"Spinneys, Gleem"
Carrefour,1037,747585,"Carrefour, Shokalany - Shobra"
Metro Market,540,715354,"Metro Market, - Ammar M010"
Metro Market,540,716105,"Metro Market, El-Yasmeen Mall M051"
Metro Market,540,715357,"Metro Market, Degla M038"
MAHMOUD ELFAR,951,647128,"Mahmoud ELFar , Arabella Plaza"
Kheir Zaman,541,718672,Kheir Zaman Hadayek Al Ahram Allam G3 K101
Kheir Zaman,541,704630,"Kheir Zaman, Oct.7th Distric J055"
Gourmet Food Stores,306,670909,"Gourmet food stores, Degla, Maadi."
Metro Market,540,715356,"Metro Market, PORT SAID M030"
Spinneys,331,768596,"Spinneys, Brands Mall - El Kothar"
Metro Market,540,750039,"Metro Market, Kobri El-Gamaa M045"
Carrefour,1037,760594,"Carrefour, Mivida"
Spinneys,331,678719,Spinneys - Semouha - Semouha Alexandria
Spinneys,331,678713,"Spinneys, city Escape mall 6th of October - 4th District"
Metro Market,540,515849,"Metro Market, Al-Manial M014"
MAHMOUD ELFAR,951,772945,"MAHMOUD ELFAR, Madinaty B12"
Kheir Zaman,541,704628,"Kheir Zaman, Shubra 2 K026"
Carrefour,1037,743103,"Carrefour, Vitali - New Cairo"
Spinneys,331,678725,"Spinneys, City plaza Mall El Shorouk"
Carrefour,1037,777581,"Carrefour, Port Fuad 750"
Spinneys,331,678716,"Spinneys, Mall of Arabia"
Metro Market,540,750040,"Metro Market, Thawra M035"
Metro Market,540,715361,"Metro Market, HURGHADA2 M033"
Kheir Zaman,541,747010,"Kheir Zaman, The Address - Zayed K134"
Spinneys,331,715329,"Spinneys, Obour"
Kheir Zaman,541,703946,"Kheir Zaman, Mokatam_st 9 K005"
Spinneys,331,691247,"Spinneys, Tanta"
Metro Market,540,716109,"Metro Market, Laselky M021"
Kheir Zaman,541,704631,"Kheir Zaman, Valeria Pyramids Gardens K084"
Kheir Zaman,541,747007,"Kheir Zaman, Mesaha - Dokki K130"
Metro Market,540,771786,"Metro Market, 6th of October - Palm Hills M048"
Kheir Zaman,541,713060,"Kheir Zaman, El Frdoos OCT J036"
Carrefour,1037,801126,"Carrefour, District 9 Hadaik 275"
Carrefour,1037,760556,"Carrefour, Orouba Mall"
Spinneys,331,792485,"Spinneys, Tagamoa (The Gray Mall)"
BIM,182,775864,"BIM, El Hay El Awel - Game't El Nahda E562"
Kheir Zaman,541,711733,"Kheir Zaman, Losaka st - Nasr city J090"
Kheir Zaman,541,700371,"Kheir Zaman, Shobra - St. Teresa K013"
Kheir Zaman,541,725490,"Kheir Zaman, El Waha K116"
Kheir Zaman,541,717295,"Kheir Zaman, sabra shebin alkom K064"
Kheir Zaman,541,515816,Kheir Zaman KZEl-Daher 2 K051
Kheir Zaman,541,759719,"Kheir Zaman, West Park Mall K137"
BIM,182,688890,"BIM, ROSANA, Nasr City - Zahraa  E408"
MAHMOUD ELFAR,951,773425,"Mahmoud ELFar, Tagammoa 5 - 90 St. Companies - 2"
Metro Market,540,515779,"Metro Market, Zamalek Abo El Feda M012"
BIM,182,722560,"BIM, El Nady - Hadayek El Ahram E386"
Metro Market,540,515783,"Metro Market, Lauran M044"
MAHMOUD ELFAR,951,767442,"MAHMOUD ELFAR, Masaken Sheraton - Abdel Hamid Badwai"
BIM,182,613013,"BIM, Agamy - Hanouvil E292"
Kheir Zaman,541,753303,"Kheir Zaman, Rawda K141"
Metro Market,540,515837,"Metro Market, El Mashaya M017"
Kheir Zaman,541,714313,Kheir Zaman AL HEGAZ-HURGHADA J072
BIM,182,725377,"BIM, Agami - Al Bitash E401"
Kheir Zaman,541,700378,"Kheir Zaman, El_shams - club J073"
Carrefour,1037,769114,"Carrefour, HCC/ Hurghada"
Kheir Zaman,541,706351,"Kheir Zaman, Tanta K043"
BIM,182,737589,"BIM, Ain Shams E253"
Kheir Zaman,541,714312,"Kheir Zaman, Mohamed ramzy J100"
Kheir Zaman,541,700444,"Kheir Zaman, Abo Bakr_ Faisal K080"
Kheir Zaman,541,737577,"Kheir Zaman, Faisal K136"
BIM,182,737587,"BIM, Hai elgamaa - Mansoura E499"
Kheir Zaman,541,700375,"Kheir Zaman, helwan abd elrahman J074"
Kheir Zaman,541,718674,"Kheir Zaman, Kaabish K098"
Kheir Zaman,541,706355,"Kheir Zaman, Ibrahim El Dousky J049"
Metro Market,540,515859,"Metro Market, Meet Hadar M049"
Metro Market,540,716107,"Metro Market, Mosadak M054"
BIM,182,742215,"BIM, Heliopolis - El Khalifa El Maa'moun E540"
Kheir Zaman,541,709109,"Kheir Zaman, Zahraa El Maadi - Becho American - J001"
Kheir Zaman,541,737575,"Kheir Zaman, Glim J033"
Kheir Zaman,541,704635,"Kheir Zaman, Sayeda - Zeinab K006"
Metro Market,540,719873,Metro Market - Zezinia M009
Kheir Zaman,541,744584,"Kheir Zaman, IbrahimNawar K125"
BIM,182,700478,"BIM, Mokattam - Easy Sport Club E436"
BIM,182,636266,"BIM, Villat Area ,Villas E201"
Kheir Zaman,541,706341,"Kheir Zaman, Nouman Al Asa J042"
Kheir Zaman,541,783635,"Kheir Zaman -Mahallat El Borg, El Mahalla El Kubra K132"
BIM,182,613108,"BIM, Hay El Salam Hoda ShaarawyE103"
